업체명,위도,경도
호텔에그,35.0866149,128.8786857
2월호텔 강서신관,35.08700356,128.8810578
모모까르페호텔,35.08661741,128.8807388
브라운도트호텔,35.08331539,128.8707373
더브레인호텔,35.08173773,128.8722958
호텔더원,35.08289233,128.8709693
V호텔,35.08639646,128.8807192
비지니스호텔,35.08639259,128.8811301
펀모텔,35.08638903,128.8801047
브이모텔,35.08639751,128.8807306
이그니스호텔,35.08637727,128.8793003
굿프라임호텔,35.14997988,128.8309512
헤르몬호텔,35.15009789,128.8322324
투썸게스트하우스앤펜션,35.04294899,128.8096954
우리펜션,35.02566624,128.8163069
어울림쉼터펜션,35.02280798,128.8145275
갈릴리펜션,35.03046001,128.8146009
카리브의일몰,35.03344314,128.8111763
우진펜션,35.0315126,128.8123775
가덕도그린빌펜션,35.03744273,128.8133261
전원별장,35.03697853,128.8140856
가덕부들펜션,35.03166293,128.8247616
로뎀펜션,35.03174159,128.8241144
꿈에그린펜션,35.0320609,128.8242522
자연애펜션,35.03179172,128.8248
가덕도펜션민박,35.02841583,128.8176455
초록펜션,35.02659721,128.8168296
노을빛펜션,35.02731297,128.8186208
은행나무펜션,35.02668722,128.8167941
가덕도힐링민박펜션,35.02727428,128.8162801
펜션GALLERY가덕,35.03410714,128.8225881
백수장,35.24362832,129.0875086
호텔G&G,35.24486672,129.0919301
카카오호텔,35.24438044,129.0914817
호텔캔들,35.2449448,129.0904558
제니스호텔,35.2449823,129.0907235
제니스호텔,35.24497552,129.0907183
쇼모텔,35.24602969,129.0917448
호텔야자,35.24743924,129.0916896
9월호텔,35.24787274,129.0916538
보브호텔,35.247583,129.0916855
넘버25호텔,35.24798471,129.0916546
로즈베이호텔,35.24786181,129.0916692
브라운도트 호텔 구서역점,35.24796884,129.0918741
티에스호텔,35.25682316,129.0909085
호텔프렌치코드,35.24489876,129.0922909
호텔시카고,35.25719867,129.0908739
파크모텔,35.25668701,129.0920876
목화장여관,35.25772178,129.0906196
드림모텔,35.22077248,129.1125727
천우장,35.21982244,129.1116956
V1모텔,35.21633713,129.1106617
V1모텔,35.21632982,129.1106485
새동진장여관,35.21398014,129.1094521
조이게스트하우스,35.21409549,129.1094291
새동진장여관,35.21396062,129.1094485
조이,35.21409206,129.1094288
휴앤고게스트하우스,35.24936983,129.0588925
부산학생교육원,35.25926999,129.0438168
쏭하우스,35.25812807,129.0916247
본우효덕수련원,35.26643882,129.0924331
스포원파크재난안전체험관,35.29362772,129.1067686
이데아호텔,35.2250157,129.0912549
기찰탕여관,35.2384543,129.0928986
라찌모텔,35.24258278,129.0911854
이화모텔,35.21541627,129.1087541
젠모텔,35.21513983,129.1065015
파래스,35.21509207,129.1056031
제이아트빌,35.21521624,129.1057643
늘푸른,35.21479468,129.1073521
부림모텔,35.21442326,129.1075125
헤이브호텔,35.21481219,129.1080432
초원장,35.21472819,129.107152
삼성여인숙,35.21541721,129.1022397
목란장,35.21430893,129.1081439
호텔 블랑,35.21500571,129.107687
넘버25호텔,35.21482716,129.10752
마이홈모텔,35.21505069,129.1068185
굿타임,35.2140279,129.1050332
장미별장여관,35.214175,129.1052743
베니스모텔,35.21391911,129.105935
진영장,35.21402869,129.1060549
청림모텔,35.21395424,129.106671
쉐르빌모텔,35.21376459,129.1061925
진영모텔,35.2140373,129.1060647
아마존모텔,35.21331442,129.1068925
그랜드모텔,35.21380844,129.1070393
몽블랑모텔,35.21396675,129.1075696
마모텔,35.21399983,129.1071283
금오별장,35.21391246,129.1074344
동산여인숙,35.21766907,129.0963963
OPENTHEDOOR,35.21593158,129.1006992
제일여인숙,35.21661418,129.1021231
동진여관,35.21400816,129.1031485
아젤리아,35.21516884,129.1055245
빙고모텔,35.21528673,129.1056637
목화모텔,35.25771326,129.0906073
동평장여관,35.22502779,129.0817899
새온천모텔찜질방,35.2240551,129.0815247
송원장,35.22376332,129.0814923
우보,35.22359422,129.0814342
금성여인숙,35.2250455,129.0819666
쉴라게스트하우스,35.23660168,129.0836898
BUSANSPAGUESTHOUSE,35.23490211,129.0833713
단디하우스부산대,35.23491329,129.087658
부산사랑게스트하우스,35.23098012,129.0862534
태양,35.22286211,129.0846472
웁스모텔,35.2242952,129.0851221
아젤리아,35.22372824,129.0844432
올레모텔,35.22357183,129.0842698
로망스모텔,35.22272369,129.0861081
맥스모텔,35.22261418,129.0848461
모텔델루나,35.22440026,129.082447
HOTELYOUAIN,35.22321721,129.0843749
대도여관,35.22343918,129.0842094
아라모텔,35.22245892,129.0848261
아레스모텔,35.22338369,129.0844811
만리장여관,35.22384332,129.0830621
에어비앤비니하오부산,35.2342498,129.0887575
태광 달방,35.22217112,129.0863136
팔레스모텔,35.27706461,129.088686
청룡여관,35.27537144,129.0891245
유성장모텔,35.27569492,129.0890979
범어장,35.27393681,129.0918485
범어장모텔,35.27393827,129.0918193
에스모텔,35.2775317,129.0891817
니즈호텔,35.2744981,129.0899731
그루브펜션,35.18619159,129.2080752
모닝블루펜션,35.18480567,129.2125121
바다애펜션,35.18604169,129.2133248
오시리아펜션,35.18812494,129.2177743
시나몬하우스앤카페,35.18452008,129.2113171
가온펜션,35.1844777,129.2127078
타샤모텔,35.23486816,129.2152805
골든베이펜션,35.22131533,129.2270667
고마펜션,35.23499608,129.2432792
본레브연화리330풀빌라앤호텔,35.21559526,129.2229761
MVG모텔,35.21392038,129.2220218
전망좋은집,35.22515777,129.2288831
연화리관광호텔,35.21559526,129.2229761
호텔오즈,35.22075941,129.2271744
